Quartier;prix;m2;Nb_pieces
Censier;130;28;1
Contrescarpe;280;50;2
St Simon;650;106;4
Rapp;800;196;7
St andré des Arts;268;55;2
5eme quais;790;190;7
Gobelins;110;500;5
Gobelins2;320;60;2
Censier2;250;48;1
Panthéon;250;35;1
Rue Madame;350;86;3
Rue de Seine;300;65;3
Panthéon2;155;32;1
Sèvre Babylone;245;52;2
Montparnasse;200;40;2
Rue d'Assas;1500;260;7
Bld Saint Germain;325;70;4
Ile St Louis;950;117;3
Jussieu;378;90;3
Quartier Latin;78;30;1
Montparnasse2;375;105;4
Rue Mazarine;200;52;
Censier3;270;80;4
Assas;295;60;3
Observatoire;990;140;
Rue de Savoie;85;20;1
Luxembourg;495;100;4
Gobelins2;85;28;1
